feature,importance
MonthlyIncome,0.0841404890895919
Age,0.07360460661055396
DailyRate,0.056591599965493726
TotalWorkingYears,0.05636152065520532
YearsAtCompany,0.05415374654637189
OverTime,0.04976530293967569
MonthlyRate,0.04815679938548951
HourlyRate,0.04561712862846573
DistanceFromHome,0.04531529856133278
YearsWithCurrManager,0.04218278553987718
NumCompaniesWorked,0.04047430695845087
StockOptionLevel,0.03776535544078738
EnvironmentSatisfaction,0.029878741339588847
JobRole,0.0288133141816794
PercentSalaryHike,0.027378755495097513
JobLevel,0.027262590111858467
YearsInCurrentRole,0.02682943033791291
JobSatisfaction,0.024308048455332174
YearsSinceLastPromotion,0.023951029457253387
TrainingTimesLastYear,0.021040202058449243
WorkLifeBalance,0.02100224055217619
JobInvolvement,0.02098287733839002
Education,0.01988273352695237
RelationshipSatisfaction,0.01962866170699138
MaritalStatus,0.01932840772865686
BusinessTravel,0.015030833535834587
EducationField,0.014851139778245879
Department,0.013948373549436632
Gender,0.00780167789433204
PerformanceRating,0.0039520026305161216
